iter	MultiClass
0	1.264097867
1	1.15817614
2	1.085234544
3	1.020136526
4	0.9654932762
5	0.9191298261
6	0.8727931661
7	0.8422318768
8	0.8164789526
9	0.7866977482
10	0.7595444913
11	0.7433965148
12	0.7226191896
13	0.707018555
14	0.6899421492
15	0.6735932665
16	0.6587047417
17	0.6440764618
18	0.6308501028
19	0.6204703844
20	0.6086567535
21	0.5972674836
22	0.5864307968
23	0.5749722206
24	0.5661816225
25	0.5575342256
26	0.550292769
27	0.5429842625
28	0.5358363001
29	0.5306412526
30	0.5237691483
31	0.517420062
32	0.5113078123
33	0.5055190983
34	0.4978031928
35	0.4920043135
36	0.4871673429
37	0.4812323405
38	0.4766907149
39	0.472652943
40	0.4663536853
41	0.4613357066
42	0.4561054198
43	0.4531065141
44	0.4473529514
45	0.4425046436
46	0.4388350518
47	0.4341280626
48	0.4300804748
49	0.4267793727
50	0.4236029862
51	0.4189382009
52	0.4151607856
53	0.4109327183
54	0.4078077075
55	0.4044517063
56	0.4007788794
57	0.3975791701
58	0.3949447185
59	0.3915489732
60	0.3881615688
61	0.3853345047
62	0.3825934912
63	0.3788550007
64	0.3757960804
65	0.3737899981
66	0.3704146302
67	0.3673628605
68	0.3653022261
69	0.3626881072
70	0.3610551258
71	0.3580702148
72	0.3560440019
73	0.353632383
74	0.3513520926
75	0.3485421731
76	0.3452751341
77	0.3426825278
78	0.3415193212
79	0.3396696289
80	0.3368305267
81	0.3352751171
82	0.3328704336
83	0.3302428486
84	0.3290850789
85	0.3265455703
86	0.3248647935
87	0.3223322069
88	0.3199628848
89	0.3183072552
90	0.3161036776
91	0.3143507258
92	0.3123128135
93	0.3109635811
94	0.3094535502
95	0.3074000969
96	0.3053711105
97	0.3033215258
98	0.3018192366
99	0.3001881438
100	0.2990598192
101	0.2971855768
102	0.2958658681
103	0.2946515072
104	0.2927773901
105	0.2906168995
106	0.2883797318
107	0.2871995623
108	0.2855207727
109	0.283745701
110	0.2824889881
111	0.281223083
112	0.2805818678
113	0.2795871609
114	0.2786996703
115	0.2777227222
116	0.2758605222
117	0.2746333044
118	0.2735560586
119	0.2720436753
120	0.2703690186
121	0.2693156694
122	0.2684765576
123	0.2675385652
124	0.2669752663
125	0.2655785098
126	0.2641218912
127	0.2634521202
128	0.2619165624
129	0.2610294124
130	0.2598182592
131	0.2583115126
132	0.2574944404
133	0.2564928184
134	0.2553377636
135	0.2541107839
136	0.2534278334
137	0.2525032426
138	0.2515307447
139	0.2506466149
140	0.249574269
141	0.2485120479
142	0.2468314819
143	0.2458748971
144	0.2447320791
145	0.2435811053
146	0.2430627651
147	0.2423926135
148	0.2413670618
149	0.2397736997
150	0.2391305931
151	0.2384303724
152	0.2377515261
153	0.2372197347
154	0.2362946828
155	0.2355759283
156	0.2345968495
157	0.2338366879
158	0.2327574154
159	0.2320280728
160	0.2313908107
161	0.2299305841
162	0.2291928922
163	0.2284083511
164	0.2276258767
165	0.2271381051
166	0.2266338965
167	0.2259850676
168	0.2255331467
169	0.2250782287
170	0.2246545709
171	0.2239912621
172	0.2232554725
173	0.2228855621
174	0.2222294906
175	0.2216184538
176	0.2211260089
177	0.2207059079
178	0.2202785483
179	0.2194786542
180	0.2190931547
181	0.2183533072
182	0.2178059937
183	0.2173306908
184	0.2167893549
185	0.2164235169
186	0.2162243654
187	0.2154092596
188	0.215030937
189	0.2142072591
190	0.2131710951
191	0.2127722582
192	0.2124924728
193	0.2119848694
194	0.211452503
195	0.2107254996
196	0.210188511
197	0.2098693158
198	0.2091740521
199	0.2084094208
200	0.2080327382
201	0.2073295327
202	0.2065129538
203	0.2057972698
204	0.2051838761
205	0.2049062575
206	0.2040382017
207	0.2030790654
208	0.2026585665
209	0.2022323305
210	0.2019868876
211	0.2014696496
212	0.2010182469
213	0.20068612
214	0.1994917709
215	0.1991487016
216	0.1989049036
217	0.1985843319
218	0.1981276169
219	0.1977067133
220	0.1972195968
221	0.1968497192
222	0.1961131794
223	0.1957501485
224	0.1954223625
225	0.1951388733
226	0.1946557936
227	0.1942357584
228	0.1939928655
229	0.19370145
230	0.193111721
231	0.1927701341
232	0.1924492194
233	0.1921319498
234	0.1918481538
235	0.1916890144
236	0.1913883941
237	0.1911429971
238	0.1909185063
239	0.1905145334
240	0.190242387
241	0.1898206169
242	0.1893404021
243	0.1888182457
244	0.1884280441
245	0.1881569882
246	0.1879315664
247	0.1876217283
248	0.1872169983
249	0.1868699307
250	0.1862953105
251	0.1859981404
252	0.1857560297
253	0.1854069202
254	0.1850591824
255	0.1846345773
256	0.1843489078
257	0.1839795985
258	0.1837046271
259	0.1834477098
260	0.1832252428
261	0.1830304227
262	0.1827028488
263	0.1825362312
264	0.1820611713
265	0.1818302415
266	0.1814713473
267	0.181208582
268	0.1808837425
269	0.1804375426
270	0.1802094593
271	0.1800588716
272	0.1795343612
273	0.1790577241
274	0.1788310336
275	0.1786045256
276	0.1783972082
277	0.1779402372
278	0.1774434944
