iter	Passed	Remaining
0	1452	403857
1	2680	371256
2	4145	381345
3	5493	377677
4	6836	374635
5	8100	368564
6	9321	362210
7	10621	359810
8	11887	356631
9	13047	350965
10	14129	344238
11	15228	338836
12	16616	340004
13	17712	335270
14	19002	334445
15	20132	330926
16	21338	328871
17	22575	327348
18	23814	325882
19	24981	323504
20	26264	322681
21	27585	322242
22	28798	320544
23	29894	317624
24	31119	316179
25	32323	314533
26	33429	312008
27	34508	309348
28	35512	306146
29	36562	303471
30	37754	302035
31	39011	301117
32	40179	299518
33	41384	298208
34	42492	296236
35	43699	294972
36	44849	293340
37	46153	292710
38	47209	290517
39	48430	289371
40	49634	288124
41	50770	286493
42	52034	285587
43	53107	283643
44	54339	282567
45	55644	281853
46	56917	280955
47	58229	280230
48	59499	279284
49	60587	277492
50	61796	276266
51	62985	274953
52	64201	273763
53	65471	272798
54	66678	271561
55	67901	270394
56	69004	268754
57	70114	267161
58	71138	265262
59	72272	263795
60	73367	262197
61	74448	260569
62	75599	259199
63	76701	257668
64	77698	255806
65	79028	255046
66	80097	253443
67	81208	251984
68	82327	250561
69	83491	249281
70	84509	247576
71	85773	246597
72	86974	245436
73	88066	243967
74	89183	242578
75	90293	241178
76	91468	239956
77	92523	238425
78	93583	236919
79	94749	235688
80	95551	233570
81	96257	231253
82	97017	229102
83	97670	226735
84	98135	223979
85	98744	221601
86	99213	218953
87	99801	216613
88	100251	214019
89	100682	211432
90	101116	208900
91	101468	206246
92	101861	203722
93	102229	201197
94	102599	198718
95	102992	196329
96	103434	194072
97	103876	191854
98	104265	189573
99	104638	187303
100	105047	185133
101	105485	183047
102	105847	180865
103	106212	178723
104	106630	176701
105	107100	174796
106	107531	172854
107	107876	170804
108	108310	168924
109	108742	167067
110	109072	165082
111	109413	163143
112	109689	161136
113	110037	159264
114	110387	157422
115	110731	155596
116	111074	153794
117	111463	152080
118	111791	150308
119	112200	148666
120	112600	147032
121	112955	145361
122	113280	143672
123	113637	142046
124	113958	140397
125	114374	138882
126	114738	137325
127	115031	135700
128	115450	134244
129	115807	132733
130	116178	131255
131	116581	129829
132	116896	128322
133	117264	126890
134	117671	125516
135	118026	124101
136	118358	122678
137	118679	121259
138	119086	119943
139	119464	118611
140	119791	117243
141	120143	115912
142	120640	114734
143	121066	113499
144	121526	112307
145	121950	111092
146	122281	109804
147	122680	108588
148	123091	107395
149	123590	106288
150	123964	105082
151	124342	103891
152	124811	102785
153	125188	101614
154	125558	100446
155	125895	99263
156	126273	98123
157	126634	96979
158	127068	95900
159	127492	94822
160	127859	93710
161	128291	92654
162	128698	91588
163	129073	90508
164	129408	89409
165	129766	88335
166	130152	87287
167	130552	86258
168	130970	85246
169	131298	84185
170	131636	83138
171	132082	82167
172	132452	81155
173	132757	80112
174	133156	79133
175	133479	78115
176	133850	77134
177	134169	76129
178	134598	75194
179	134984	74241
180	135340	73278
181	135717	72333
182	136130	71412
183	136514	70483
184	136902	69561
185	137250	68625
186	137549	67671
187	137963	66780
188	138317	65865
189	138772	65003
190	139206	64137
191	139552	63234
192	139884	62331
193	140250	61450
194	140603	60567
195	141030	59722
196	141427	58868
197	141767	57995
198	142125	57135
199	142578	56318
200	142968	55480
201	143399	54662
202	143788	53832
203	144194	53012
204	144567	52185
205	144902	51348
206	145319	50546
207	145789	49764
208	146124	48941
209	146530	48145
210	146843	47323
211	147217	46526
212	147647	45749
213	148000	44953
214	148436	44185
215	148789	43397
216	149099	42599
217	149462	41822
218	149849	41054
219	150276	40301
220	150642	39535
221	150966	38761
222	151402	38020
223	151864	37288
224	152228	36534
225	152556	35776
226	152950	35037
227	153334	34298
228	153655	33549
229	154022	32813
230	154386	32080
231	154722	31344
232	155093	30619
233	155506	29905
234	155835	29177
235	156159	28452
236	156498	27733
237	156913	27031
238	157249	26317
239	157732	25631
240	158091	24927
241	158488	24231
242	158867	23535
243	159293	22849
244	159692	22161
245	160082	21474
246	160424	20783
247	160764	20095
248	161167	19417
249	161552	18740
250	162018	18073
251	162425	17402
252	162774	16727
253	163109	16054
254	163524	15390
255	163971	14731
256	164383	14071
257	164756	13410
258	165205	12757
259	165669	12106
260	166052	11451
261	166432	10799
262	166833	10149
263	167202	9500
264	167579	8853
265	167976	8209
266	168352	7566
267	168746	6926
268	169159	6288
269	169534	5651
270	169895	5015
271	170233	4381
272	170682	3751
273	171113	3122
274	171501	2494
275	171920	1868
276	172266	1243
277	172680	621
278	173128	0
